gender,math_score_mean,metric,reading_score_mean,writing_score_mean,race_ethnicity,parent_education,lunch,test_prep_course
female,63.63,math_score,,,,,,
male,68.73,math_score,,,,,,
female,,reading_score,72.61,,,,,
male,,reading_score,65.47,,,,,
female,,writing_score,,72.47,,,,
male,,writing_score,,63.31,,,,
,61.63,math_score,,,group A,,,
,63.45,math_score,,,group B,,,
,64.46,math_score,,,group C,,,
,67.36,math_score,,,group D,,,
,73.82,math_score,,,group E,,,
,,reading_score,64.67,,group A,,,
,,reading_score,67.35,,group B,,,
,,reading_score,69.1,,group C,,,
,,reading_score,70.03,,group D,,,
,,reading_score,73.03,,group E,,,
,,writing_score,,62.67,group A,,,
,,writing_score,,65.6,group B,,,
,,writing_score,,67.83,group C,,,
,,writing_score,,70.15,group D,,,
,,writing_score,,71.41,group E,,,
,67.88,math_score,,,,associate's degree,,
,69.39,math_score,,,,bachelor's degree,,
,62.14,math_score,,,,high school,,
,69.75,math_score,,,,master's degree,,
,67.13,math_score,,,,some college,,
,63.5,math_score,,,,some high school,,
,,reading_score,70.93,,,associate's degree,,
,,reading_score,73.0,,,bachelor's degree,,
,,reading_score,64.7,,,high school,,
,,reading_score,75.37,,,master's degree,,
,,reading_score,69.46,,,some college,,
,,reading_score,66.94,,,some high school,,
,,writing_score,,69.9,,associate's degree,,
,,writing_score,,73.38,,bachelor's degree,,
,,writing_score,,62.45,,high school,,
,,writing_score,,75.68,,master's degree,,
,,writing_score,,68.84,,some college,,
,,writing_score,,64.89,,some high school,,
,58.92,math_score,,,,,free/reduced,
,70.03,math_score,,,,,standard,
,,reading_score,64.65,,,,free/reduced,
,,reading_score,71.65,,,,standard,
,,writing_score,,63.02,,,free/reduced,
,,writing_score,,70.82,,,standard,
,69.7,math_score,,,,,,completed
,64.08,math_score,,,,,,none
,,reading_score,73.89,,,,,completed
,,reading_score,66.53,,,,,none
,,writing_score,,74.42,,,,completed
,,writing_score,,64.5,,,,none
